company_names,company_code,p/e_ratio
Varroc,VARROC.NS,-11.2
Spencer's Retail,SPENCERS.NS,-3.69
ReNew Power,RNW,-71.5
Tata Teleservices,TTML.NS,-13.4
Hinduja Ventures,NXTDIGITAL.NS,-2.81
Sequent Scientific,SEQUENT.NS,-21.8
Gati,GATI.NS,-114
Mahindra Logistics,MAHLOG.NS,-139
PB Fintech,POLICYBZR.NS,-198
Piramal Pharma,PPLPHARMA.NS,-130
Sanghi Industries,SANGHIIND.NS,-5.22
GMR Group,GMRINFRA.NS,-137
Info Edge,NAUKRI.NS,-610
Dish TV,DISHTV.NS,-2.06
KIOCL,KIOCL.NS,-241
Balaji Telefilms,BALAJITELE.NS,-319
MEP Infrastructure,MEP.NS,-0.8950
GE Power India,GEPIL.NS,-4.17
IIFL Wealth Management,IIFLWAM.NS,102
Kellton Tech Solutions,KELLTONTEC.NS,-7.31
Coffee Day Enterprises,COFFEEDAY.NS,-3.73
Astec Lifesciences,ASTEC.NS,-98.1
JCI Hitachi India,JCHAC.NS,-25.7
SPARC,SPARC.NS,-54.4
Zomato,ZOMATO.NS,-205
Indorama Synthetics,INDORAMA.NS,-9.83
Omaxe,OMAXE.NS,-4.56
Zee Entertainment,ZEEL.NS,-127
Quick Heal,QUICKHEAL.NS,-169
Ebixcash India,EBIXFOREX.NS,N/A
GTL Infrastructure,GTLINFRA.NS,-1.28
RattanIndia Power,RTNPOWER.NS,-2.40
Unitech Group,UNITECH.NS,-1.12
Paytm,PAYTM.NS,-20.9
Hindustan Sanitaryware & Industries,HSIL.NS,N/A
Vodafone Idea,IDEA.NS,-1.83
Nectar Lifesciences,NECLIFE.NS,-29.4
Tata Steel Long Products,TATASTLLP.NS,-1.91
Jindal Stainless (Hisar),JSLHISAR.NS,8.93
Gallantt Ispat,GALLISPAT.NS,N/A
Jaypee Group,JPASSOCIAT.NS,-4.39
HDFC Bank,HDB,19.7
Indian Telephone Industries,ITI.NS,-69.0
Lodha Group,LODHA.NS,-211
Jump Networks,JUMPNET.NS,N/A
Reliance Power,RPOWER.NS,-21.6
INEOS Styrolution,INEOSSTYRO.NS,7.31
Zee Learn,ZEELEARN.NS,-0.4934
Barbeque Nation Hospitality,BARBEQUE.NS,-837
Jubilant Pharmova,JUBLPHARMA.NS,-226
Alok Industries,ALOKINDS.NS,-14.2
Asian Granito India,ASIANTILES.NS,-10.5
Delhivery,DELHIVERY.NS,-46.9
Future Retail,FRETAIL.NS,-0.0273
Yatra,YTRA,-26.2
Kalpataru Power Transmission,KALPATPOWR.NS,13.2
Strides Pharma,STAR.NS,-33.1
SpiceJet,SPICEJET.BO,-3.04
Network18,NETWORK18.NS,-64.0
Hindustan Media Ventures,HMVL.NS,-70.9
Tejas Networks,TEJASNET.NS,-262
sterling & wilson solar,SWSOLAR.NS,-14.4
Future Supply Chain Solutions,FSC.NS,-0.0389
Inox Wind,INOXWIND.NS,-32.2
Reliance Communications,RCOM.NS,-0.0344
Mahanagar Telephone Nigam,MTNL.NS,-0.7476
Bombay Burmah,BBTC.NS,-6.53
Azure Power,AZREF,-1.37
Sunteck Realty,SUNTECK.NS,-133
