company_names,company_code,earnings
eMudhra,EMUDHRA.NS,$10.52 M
Hathway,HATHWAY.NS,$10.42 M
Rupa Company,RUPA.NS,$10.36 M
Alembic Limited,ALEMBICLTD.NS,$9.92 M
Cantabil Retail India,CANTABIL.NS,$9.3 M
Coffee Day Enterprises,COFFEEDAY.NS,$9.26 M
Dollar Industries,DOLLAR.NS,$9.03 M
Aptech,APTECHT.NS,$8.93 M
Foseco India,FOSECOIND.NS,$8.9 M
Jindal Poly Films,JINDALPOLY.NS,$8.54 M
Ebixcash India,EBIXFOREX.NS,$8.37 M
Piramal Enterprises,PEL.NS,$8.08 M
India Nippon Electricals,INDNIPPON.NS,$8 M
Apollo Pipes,APOLLOPIPE.NS,$7.64 M
Sundaram Finance,SUNDARMHLD.NS,$7.6 M
Kitex Garments,KITEX.NS,$7.51 M
Balaji Telefilms,BALAJITELE.NS,$7.42 M
Sterling Tools,STERTOOLS.NS,$7.36 M
Jay Bharat Maruti,JAYBARMARU.NS,$6.56 M
NACL Industries,NACLIND.NS,$6.53 M
Wheels India,WHEELS.NS,$6.52 M
Wendt India,WENDT.NS,$6.48 M
IFB Industries,IFBIND.NS,$6.3 M
Borosil,BORORENEW.NS,$5.94 M
Rane Brake Lining,RBL.NS,$5.94 M
Vidhi Specialty Food,VIDHIING.NS,$5.8 M
Mahindra Logistics,MAHLOG.NS,$5.56 M
Barbeque Nation Hospitality,BARBEQUE.NS,$5.52 M
Jio Financial Services,JIOFIN.NS,$5.33 M
Unitech Group,UNITECH.NS,$4.97 M
Hester Biosciences,HESTERBIO.NS,$4.9 M
Kokuyo Camlin,KOKUYOCMLN.NS,$4.86 M
Avalon Technologies,AVALON.NS,$4.34 M
Modern Dairies Limited,MODAIRY.BO,$4.06 M
Nelco,NELCO.NS,$3.95 M
KIOCL,KIOCL.NS,$3.94 M
Multi Commodity Exchange,MCX.NS,$3.68 M
Igarashi Motors India,IGARASHI.NS,$3.01 M
Hyderabad Industries Limited,HIL.NS,$2.96 M
Oriental Aromatics,OAL.NS,$2.63 M
Excel Industries,EXCELINDUS.NS,$2.45 M
Navkar Corp,NAVKARCORP.NS,$2.42 M
Milkfood Limited,MLKFOOD.BO,$2.34 M
Apex Frozen Foods,APEX.NS,$2.06 M
Bodal Chemicals,BODALCHEM.NS,$1.37 M
Radio City,RADIOCITY.NS,$1.26 M
N.B.I. Industrial Finance,NBIFIN.NS,$1.2 M
Gati,GATI.NS,$0.69 M
Hindustan Media Ventures,HMVL.NS,$0.43 M
Quick Heal,QUICKHEAL.NS,$0.3 M
Mahindra Lifespaces,MAHLIFE.NS,-$0.08 M
PB Fintech,POLICYBZR.NS,-$0.67 M
Reliance Communications,RCOM.NS,-$1.08 M
Jump Networks,JUMPNET.NS,-$1.51 M
Zomato,ZOMATO.NS,-$1.52 M
Yatra,YTRA,-$3.35 M
Asian Granito India,ASIANTILES.NS,-$5.97 M
Astec Lifesciences,ASTEC.NS,-$8.09 M
Sunteck Realty,SUNTECK.NS,-$9.59 M
Gujarat Alkalies and Chemicals,GUJALKALI.NS,-$9.95 M
Azure Power,AZREF,-$10.34 M
Hinduja Ventures,NXTDIGITAL.NS,-$10.96 M
Tejas Networks,TEJASNET.NS,-$13.46 M
Spencer's Retail,SPENCERS.NS,-$13.99 M
Mirza International,MIRZAINT.NS,-$15.13 M
Kellton Tech Solutions,KELLTONTEC.NS,-$15.47 M
Sequent Scientific,SEQUENT.NS,-$17.8 M
Inox Wind,INOXWIND.NS,-$17.92 M
Indian Telephone Industries,ITI.NS,-$19.07 M
JCI Hitachi India,JCHAC.NS,-$19.57 M
Indorama Synthetics,INDORAMA.NS,-$19.66 M
3i Infotech,3IINFOLTD.NS,-$25.11 M
