company_names,company_code,market_cap
Kaveri Seed,KSCL.NS,$0.41 B
Dish TV,DISHTV.NS,$0.41 B
CARE's Ratings,CARERATING.NS,$0.41 B
Avalon Technologies,AVALON.NS,$0.41 B
Mahindra Logistics,MAHLOG.NS,$0.40 B
Anup Engineering,ANUP.NS,$0.40 B
Greenply,GREENPLY.NS,$0.40 B
Delta Corp,DELTACORP.NS,$0.39 B
Indoco Remedies,INDOCO.NS,$0.39 B
JCI Hitachi India,JCHAC.NS,$0.38 B
Prime Focus,PFOCUS.NS,$0.38 B
Dollar Industries,DOLLAR.NS,$0.38 B
Sequent Scientific,SEQUENT.NS,$0.37 B
Prakash Industries,PRAKASH.NS,$0.37 B
SML Isuzu,SMLISUZU.NS,$0.36 B
Ashiana Housing,ASHIANA.NS,$0.36 B
Shalby,SHALBY.NS,$0.36 B
Sandhar,SANDHAR.NS,$0.36 B
Vadilal Industries,VADILALIND.NS,$0.35 B
Nilkamal,NILKAMAL.NS,$0.35 B
Unitech Group,UNITECH.NS,$0.35 B
Confidence Petroleum,CONFIPET.NS,$0.35 B
Polyplex,POLYPLEX.NS,$0.33 B
Vst Tillers Tractors,VSTTILLERS.NS,$0.33 B
Automotive Axles,AUTOAXLES.NS,$0.33 B
Tide Water Oil,TIDEWATER.NS,$0.33 B
MPS Limited,MPSLTD.NS,$0.33 B
Accelya,ACCELYA.NS,$0.33 B
Repco Home Finance,REPCOHOME.NS,$0.32 B
Filatex India,FILATEX.NS,$0.32 B
PTC Financial Services,PFS.NS,$0.31 B
India Glycols,INDIAGLYCO.NS,$0.31 B
Quick Heal,QUICKHEAL.NS,$0.31 B
Hindustan Oil Exploration Company,HINDOILEXP.NS,$0.30 B
TCNS Clothing,TCNSBRANDS.NS,$0.30 B
Parag Milk Foods,PARAGMILK.NS,$0.30 B
Astec Lifesciences,ASTEC.NS,$0.30 B
Sanghi Industries,SANGHIIND.NS,$0.30 B
Capacit'e Infraprojects,CAPACITE.NS,$0.30 B
Somany Ceramics,SOMANYCERA.NS,$0.30 B
Honda Siel Power Products,HONDAPOWER.NS,$0.30 B
RPG Life Sciences,RPGLIFE.NS,$0.30 B
Wendt India,WENDT.NS,$0.29 B
Sasken Technologies,SASKEN.NS,$0.29 B
Huhtamaki India,HUHTAMAKI.NS,$0.29 B
Alembic Limited,ALEMBICLTD.NS,$0.29 B
KCP Limited,KCP.NS,$0.28 B
Jindal Poly Films,JINDALPOLY.NS,$0.28 B
Mahanagar Telephone Nigam,MTNL.NS,$0.28 B
Lumax Industries,LUMAXIND.NS,$0.27 B
Jagran Prakashan,JAGRAN.NS,$0.27 B
Vidhi Specialty Food,VIDHIING.NS,$0.27 B
Mangalam Cement,MANGLMCEM.NS,$0.26 B
GTL Infrastructure,GTLINFRA.NS,$0.26 B
Kingfa Science & Technology,KINGFA.NS,$0.26 B
GE Power India,GEPIL.NS,$0.26 B
Siyaram Silk Mills,SIYSIL.NS,$0.25 B
Hyderabad Industries Limited,HIL.NS,$0.25 B
MM Forgings,MMFL.NS,$0.25 B
Barbeque Nation Hospitality,BARBEQUE.NS,$0.25 B
Foseco India,FOSECOIND.NS,$0.25 B
Rupa Company,RUPA.NS,$0.24 B
GTPL Hathway,GTPL.NS,$0.24 B
Hindustan Sanitaryware & Industries,HSIL.NS,$0.24 B
Geojit Financial Services,GEOJITFSL.NS,$0.24 B
Sify,SIFY,$0.23 B
Federal-Mogul Goetze,FMGOETZE.NS,$0.23 B
Omaxe,OMAXE.NS,$0.23 B
Rico Auto Industries,RICOAUTO.NS,$0.22 B
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,$0.22 B
Gallantt Ispat,GALLISPAT.NS,$0.22 B
Cantabil Retail India,CANTABIL.NS,$0.21 B
Gati,GATI.NS,$0.21 B
Shankara Building,SHANKARA.NS,$0.20 B
Nelco,NELCO.NS,$0.20 B
India Nippon Electricals,INDNIPPON.NS,$0.19 B
Southern Petrochemical Industries Corp,SPIC.NS,$0.19 B
Rane Holdings,RANEHOLDIN.NS,$0.19 B
I.g. Petrochemicals,IGPL.NS,$0.18 B
Dhampur Sugar Mills,DHAMPURSUG.NS,$0.18 B
Navkar Corp,NAVKARCORP.NS,$0.18 B
Cosmo First,COSMOFIRST.NS,$0.17 B
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,$0.17 B
Wheels India,WHEELS.NS,$0.17 B
INEOS Styrolution,INEOSSTYRO.NS,$0.17 B
Igarashi Motors India,IGARASHI.NS,$0.16 B
Aptech,APTECHT.NS,$0.16 B
Himatsingka Seide,HIMATSEIDE.NS,$0.16 B
Kuantum Papers,KUANTUM.NS,$0.16 B
Hester Biosciences,HESTERBIO.NS,$0.16 B
Kitex Garments,KITEX.NS,$0.16 B
Jay Bharat Maruti,JAYBARMARU.NS,$0.15 B
Monte Carlo Fashions,MONTECARLO.NS,$0.15 B
India Motor Parts and Accessories,IMPAL.NS,$0.15 B
Kokuyo Camlin,KOKUYOCMLN.NS,$0.15 B
Coffee Day Enterprises,COFFEEDAY.NS,$0.15 B
NACL Industries,NACLIND.NS,$0.15 B
Sterling Tools,STERTOOLS.NS,$0.14 B
Bliss GVS Pharma,BLISSGVS.NS,$0.14 B
Indorama Synthetics,INDORAMA.NS,$0.14 B
Oriental Aromatics,OAL.NS,$0.13 B
