company_names,company_code,Dividend
Kellton Tech Solutions,KELLTONTEC.NS,0.00%
Coffee Day Enterprises,COFFEEDAY.NS,0.00%
Suzlon,SUZLON.NS,0.00%
Ashoka Buildcon,ASHOKA.NS,0.00%
JCI Hitachi India,JCHAC.NS,0.00%
Federal-Mogul Goetze,FMGOETZE.NS,0.00%
SPARC,SPARC.NS,0.00%
Zomato,ZOMATO.NS,0.00%
FDC India,FDC.NS,0.00%
Indorama Synthetics,INDORAMA.NS,0.00%
Mirza International,MIRZAINT.NS,0.00%
Omaxe,OMAXE.NS,0.00%
Adani Power,ADANIPOWER.NS,0.00%
Zee Entertainment,ZEEL.NS,0.00%
Prince Pipes And Fittings,PRINCEPIPE.NS,0.00%
Hindustan Construction Company,HCC.NS,0.00%
Ebixcash India,EBIXFOREX.NS,0.00%
VA Tech Wabag,WABAG.NS,0.00%
GTL Infrastructure,GTLINFRA.NS,0.00%
Max Financial Services,MFSL.NS,0.00%
RattanIndia Power,RTNPOWER.NS,0.00%
Unitech Group,UNITECH.NS,0.00%
Indian Overseas Bank,IOB.NS,0.00%
Religare,RELIGARE.NS,0.00%
Paytm,PAYTM.NS,0.00%
Hindustan Sanitaryware & Industries,HSIL.NS,0.00%
IFB Industries,IFBIND.NS,0.00%
Vodafone Idea,IDEA.NS,0.00%
WNS,WNS,0.00%
Nectar Lifesciences,NECLIFE.NS,0.00%
Tata Steel Long Products,TATASTLLP.NS,0.00%
Jindal Stainless (Hisar),JSLHISAR.NS,0.00%
Gallantt Ispat,GALLISPAT.NS,0.00%
Jaypee Group,JPASSOCIAT.NS,0.00%
DMart,DMART.NS,0.00%
Nazara Technologies,NAZARA.NS,0.00%
CSB Bank,CSBBANK.NS,0.00%
Imagicaaworld Entertainment,IMAGICAA.NS,0.00%
3i Infotech,3IINFOLTD.NS,0.00%
NCC Limited,NCC.NS,0.00%
Indian Telephone Industries,ITI.NS,0.00%
MMTC,MMTC.NS,0.00%
Nykaa,NYKAA.NS,0.00%
IDFC,IDFC.NS,0.00%
Jump Networks,JUMPNET.NS,0.00%
Prakash Industries,PRAKASH.NS,0.00%
