company_names,company_code,market_cap
Gati,GATI.NS,$0.21 B
Tamil Nadu Newsprint and Papers Limited,TNPL.NS,$0.21 B
GE Power India,GEPIL.NS,$0.21 B
Omaxe,OMAXE.NS,$0.19 B
Nelco,NELCO.NS,$0.19 B
Geojit Financial Services,GEOJITFSL.NS,$0.19 B
Shankara Building,SHANKARA.NS,$0.18 B
Rane Holdings,RANEHOLDIN.NS,$0.18 B
Southern Petrochemical Industries Corp,SPIC.NS,$0.17 B
Navkar Corp,NAVKARCORP.NS,$0.17 B
INEOS Styrolution,INEOSSTYRO.NS,$0.17 B
Wheels India,WHEELS.NS,$0.17 B
India Nippon Electricals,INDNIPPON.NS,$0.17 B
Dhampur Sugar Mills,DHAMPURSUG.NS,$0.17 B
Aptech,APTECHT.NS,$0.16 B
Cosmo First,COSMOFIRST.NS,$0.16 B
Kuantum Papers,KUANTUM.NS,$0.16 B
Igarashi Motors India,IGARASHI.NS,$0.16 B
I.g. Petrochemicals,IGPL.NS,$0.15 B
Monte Carlo Fashions,MONTECARLO.NS,$0.15 B
Kitex Garments,KITEX.NS,$0.15 B
Jay Bharat Maruti,JAYBARMARU.NS,$0.15 B
Himatsingka Seide,HIMATSEIDE.NS,$0.14 B
Mangalore Chemicals and Fertilizers,MANGCHEFER.NS,$0.14 B
Bliss GVS Pharma,BLISSGVS.NS,$0.14 B
India Motor Parts and Accessories,IMPAL.NS,$0.14 B
Hester Biosciences,HESTERBIO.NS,$0.14 B
NACL Industries,NACLIND.NS,$0.14 B
Sterling Tools,STERTOOLS.NS,$0.14 B
Kokuyo Camlin,KOKUYOCMLN.NS,$0.13 B
Coffee Day Enterprises,COFFEEDAY.NS,$0.13 B
Oriental Aromatics,OAL.NS,$0.13 B
Indorama Synthetics,INDORAMA.NS,$0.12 B
